"lo_id","chapter","scope","section","bloom","workshop_links","review_links","coverage_status","objective_text"
"LO-C5-17","5","chapter","","create",1,0,"workshop-only","design a regression-based analytical procedure for a specific audit objective, specifying the dependent and independent variables, data requirements, estimation period, precision threshold, and decision rule."
"LO-C5-18","5","chapter","","create",1,0,"workshop-only","communicate the results, limitations, and audit implications of a regression analysis in a manner appropriate for audit documentation and professional discussion."
"LO-C5S5.1-01","5","section","5.1","understand",0,0,"uncovered","Define regression analysis and identify its primary components: dependent variable, independent variable, and error term."
"LO-C5S5.2-01","5","section","5.2","understand",0,0,"uncovered","List the key assumptions underlying regression analysis: linearity in the parameters, random sampling, sample variation, and zero-conditional mean of errors."
"LO-C5S5.3-01","5","section","5.3","apply",0,0,"uncovered","Identify steps for summarizing and plotting data to explore relationships."
"LO-C5S5.4-01","5","section","5.4","apply",0,0,"uncovered","Define linear regression and describe key components like predictors, response, and error terms."
"LO-C5S5.5-01","5","section","5.5","analyze",0,0,"uncovered","List common diagnostic tools for detecting outliers and influential observations."
"LO-C5S5.6-01","5","section","5.6","understand",0,0,"uncovered","State the purpose of analysis of variance (ANOVA) in the context of regression models."
"LO-C5S5.7-01","5","section","5.7","analyze",0,0,"uncovered","Identify the assumptions underlying linear regression (e.g., normality, homoscedasticity, independence)."
"LO-C5S5.8-01","5","section","5.8","evaluate",0,0,"uncovered","Recall the null and alternative hypotheses for testing coefficients and the overall model."
"LO-C5S5.9-01","5","section","5.9","apply",0,0,"uncovered","State the definitions of confidence and prediction intervals, and define the difference between predictions for new data points and predictions for mean responses."
"LO-C6-01","6","chapter","","understand",19,1,"covered-both","Define goodness of fit and explain its purpose in statistical analysis."
"LO-C6-02","6","chapter","","analyze",7,1,"covered-both","Distinguish statistical evidence of anomaly from conclusive evidence of fraud."
"LO-C6-03","6","chapter","","remember",1,0,"workshop-only","define goodness of fit and explain its purpose in statistical analysis."
"LO-C6-04","6","chapter","","remember",1,1,"covered-both","identify the null and alternative hypotheses used in goodness-of-fit testing."
"LO-C6-05","6","chapter","","remember",1,2,"covered-both","state the main characteristics and expected digit frequencies of Benford's Law."
"LO-C6-06","6","chapter","","remember",1,1,"covered-both","recall the assumptions and conditions required for the application of goodness-of-fit tests."
"LO-C6-07","6","chapter","","understand",1,0,"workshop-only","explain how goodness-of-fit tests compare observed frequencies with expected frequencies."
"LO-C6-08","6","chapter","","understand",1,0,"workshop-only","describe the rationale behind Benford's Law and why it applies to many naturally occurring datasets."
"LO-C6-09","6","chapter","","understand",1,0,"workshop-only","explain the relationship between test statistics, degrees of freedom, and statistical significance."
"LO-C6-10","6","chapter","","understand",1,1,"covered-both","understand the strengths and limitations of Benford's Law as a tool for fraud detection."
"LO-C6-11","6","chapter","","apply",1,0,"workshop-only","construct observed and expected frequency tables for goodness-of-fit analyses."
"LO-C6-12","6","chapter","","apply",1,0,"workshop-only","perform a chi-square goodness-of-fit test using statistical software."
"LO-C6-13","6","chapter","","apply",5,2,"covered-both","apply Benford's Law to a dataset and compare observed digit frequencies with expected frequencies."
"LO-C6-14","6","chapter","","apply",1,1,"covered-both","interpret p-values and test results in the context of auditing and data analysis."
"LO-C6-15","6","chapter","","analyze",1,1,"covered-both","investigate discrepancies between observed and expected frequencies."
"LO-C6-16","6","chapter","","analyze",1,2,"covered-both","determine which categories or digits contribute most to a lack of fit."
"LO-C6-17","6","chapter","","analyze",1,1,"covered-both","assess whether deviations from Benford's Law are likely due to natural variation or require further investigation."
"LO-C6-18","6","chapter","","evaluate",1,1,"covered-both","evaluate the appropriateness of a goodness-of-fit model for a particular dataset."
"LO-C6-19","6","chapter","","evaluate",1,1,"covered-both","judge whether the assumptions underlying a goodness-of-fit test have been satisfied."
"LO-C6-20","6","chapter","","evaluate",1,1,"covered-both","assess the evidential value of Benford analysis in an audit or fraud examination."
"LO-C6-21","6","chapter","","create",1,1,"covered-both","design a goodness-of-fit analysis to assess whether observed data follow a specified distribution."
"LO-C6-22","6","chapter","","create",1,1,"covered-both","develop a Benford's Law testing procedure for use in an audit or forensic investigation."
"LO-C6-23","6","chapter","","create",7,1,"covered-both","formulate recommendations for additional audit procedures based on the results of a goodness-of-fit analysis."
"LO-C6S6.2-01","6","section","6.2","apply",0,0,"uncovered","Apply Benford-based expected frequencies to interpret observed-versus-expected deviations."
"LO-C6S6.2-02","6","section","6.2","evaluate",0,0,"uncovered","Evaluate whether identified digit anomalies warrant additional audit procedures."
